AcountNumber,CVV,CustomerAge,Gender,Marital Status,CardColour,CardType,Domain,Amount,AverageIncomeExpendicture,Outcome,Customer_City_Address
1275734409,364,28,Male,Married,Gold,Verve,Local,129282,170919,0,Enugu
1271246193,401,25,Male,Single,Gold,Verve,International,574384,329353,1,Enugu
1242290165,266,21,Female,Married,White,Visa,International,190766,292922,0,Enugu
1245478185,402,26,Male,Unknown,White,Visa,Local,130395,145444,0,Ibadan
1258212072,334,28,Female,Married,Gold,Verve,International,685145,295990,1,Port Harcourt
1243532523,310,23,Male,Married,White,MasterCard,International,524019,118086,1,Lagos
1258961564,426,27,Male,Married,Gold,Verve,Local,367905,258085,0,Other
1243401285,663,25,Female,Unknown,Gold,Verve,Local,597975,194062,1,Abuja
1242065386,319,22,Male,Single,Gold,Verve,International,773932,119074,1,Ota
1261095164,482,18,Male,Single,White,Visa,International,399983,165251,1,Abuja
1258683730,406,29,Female,Unknown,White,MasterCard,International,324816,187062,1,Kano
1249389184,498,26,Male,Married,White,MasterCard,International,227435,209800,0,Lagos
1284372571,396,20,Female,Single,White,MasterCard,International,567732,150616,0,Lagos
1268085027,650,24,Male,Unknown,Gold,Verve,International,334576,131320,0,Port Harcourt
1269546681,652,23,Male,Married,Gold,Verve,Local,988254,102139,1,Enugu
1277657754,624,28,Female,Unknown,Gold,Verve,International,970173,120801,1,Other
1253790611,252,19,Male,Single,Gold,Verve,International,628709,137435,1,Lagos
1261534483,507,29,Male,Married,Gold,Verve,Local,491937,258868,1,Other
1262947685,277,27,Female,Married,White,Visa,International,432118,142611,1,Ibadan
1289652084,613,29,Male,Married,Gold,Verve,International,942223,151992,1,Ota
1244890254,455,20,Female,Divorced,White,Visa,Local,215744,218971,0,Lagos
1243281131,391,25,Male,Married,Gold,Verve,Local,259833,224058,1,Port Harcourt
1289613426,577,28,Male,Married,White,Visa,International,818264,158119,1,Ibadan
1268243210,497,21,Female,Single,White,Visa,International,487830,281053,0,Ibadan
1271954322,356,29,Male,Married,White,MasterCard,International,803169,242455,1,Lagos
1241232907,290,26,Male,Single,White,MasterCard,International,981559,117024,1,Port Harcourt
1283792331,411,23,Female,Unknown,White,MasterCard,International,244037,210465,0,Enugu
1258302437,609,20,Male,Married,White,Visa,International,551318,309306,1,Port Harcourt
1285502393,636,25,Female,Single,White,Visa,Local,418925,286565,1,Kano
1247724592,539,24,Male,Married,Gold,Verve,International,873741,363685,1,Ibadan
1287884671,266,25,Male,Married,Gold,Verve,International,552697,191314,1,Kano
1256626577,254,24,Female,Married,Gold,Verve,Local,271242,229039,0,Enugu
1279095729,550,29,Male,Married,Gold,Verve,International,813607,278275,1,Kano
1259113023,659,24,Male,Married,White,Visa,International,801111,363899,1,Kano
1259354595,481,26,Female,Married,White,MasterCard,Local,414885,175972,0,Lagos
1261083620,495,24,Male,Single,White,Visa,Local,946222,133297,1,Ota
1278140764,456,19,Female,Married,Gold,Verve,International,448104,116121,1,Kano
1286229306,556,19,Male,Married,White,MasterCard,International,929661,161739,1,Port Harcourt
1257999050,255,27,Male,Unknown,White,Visa,International,339861,278532,0,Ota
1242066626,542,19,Female,Married,Gold,Verve,International,773572,263850,1,Kano
1253477960,498,20,Male,Single,Gold,Verve,International,793156,157126,1,Ota
1271811188,605,26,Male,Married,Gold,Verve,International,883994,226794,1,Enugu
1280695158,562,20,Female,Single,Gold,Verve,Local,519201,210593,1,Ota
1289400210,446,24,Male,Married,Gold,Verve,International,553745,273177,1,Ibadan
1256313308,622,19,Female,Single,White,Visa,International,735615,330391,1,Lagos
1257679976,227,21,Male,Single,White,Visa,Local,570405,143453,1,Other
1264324381,671,25,Male,Married,Gold,Verve,International,150147,253958,0,Kano
1243532344,365,29,Female,Married,Gold,Verve,International,758870,322499,1,Abuja
1247023397,660,27,Male,Married,White,Visa,Local,436991,163159,0,Ibadan
1285382222,566,25,Male,Single,White,Visa,Local,590350,274578,1,Ota
1258347059,521,21,Female,Married,Gold,Verve,International,415642,133259,1,Lagos
1256893120,212,27,Male,Married,White,MasterCard,International,376449,154854,0,Ota
1250995624,437,25,Female,Married,Gold,Verve,International,100639,133112,0,Ibadan
1278210157,638,18,Male,Married,Gold,Verve,International,893220,194971,1,Port Harcourt
1279414365,330,24,Male,Married,Gold,Verve,International,784286,159547,1,Ibadan
1240085053,238,26,Female,Unknown,White,Visa,International,335774,188636,0,Ota
1280259999,221,27,Male,Single,White,MasterCard,Local,794132,367553,1,Kano
1270943970,654,19,Male,Married,White,MasterCard,International,265090,208163,0,Port Harcourt
1252191886,514,23,Female,Married,White,MasterCard,International,236229,352084,1,Lagos
1274753366,500,21,Male,Single,Gold,Verve,Local,194508,153149,0,Lagos
1242229536,578,28,Female,Married,Gold,Verve,International,564405,137624,1,Other
1251353724,293,21,Male,Married,Gold,Verve,International,946531,184669,1,Port Harcourt
1255594867,215,30,Male,Divorced,Gold,Verve,Local,411047,290268,0,Ibadan
1275729305,626,18,Female,Single,Gold,Verve,Local,111718,137051,0,Lagos
1266427009,435,25,Male,Single,White,Visa,International,335368,320007,1,Ota
1258451709,284,26,Male,Single,Gold,Verve,International,453910,237380,1,Enugu
1287561344,493,23,Female,Married,White,Visa,International,707338,155519,1,Other
1242100039,673,29,Male,Single,Gold,Verve,International,993836,237307,1,Abuja
1250778445,624,29,Female,Married,White,Visa,International,977618,290920,1,Ibadan
1272806836,364,19,Male,Married,White,Visa,International,373650,169373,0,Enugu
1242673295,228,27,Male,Single,White,MasterCard,Local,851081,154432,1,Port Harcourt
1253227048,362,19,Female,Married,White,MasterCard,International,722377,364617,1,Lagos
1276187074,652,21,Male,Unknown,White,MasterCard,International,656684,222068,1,Ota
1267551075,243,27,Male,Married,White,Visa,Local,843786,125005,1,Ota
1247665129,564,29,Female,Single,White,Visa,International,210820,146413,1,Other
1259736157,236,19,Male,Single,Gold,Verve,International,190182,201701,0,Ibadan
1278318373,374,26,Female,Single,Gold,Verve,Local,927923,179032,1,Abuja
1242596613,672,29,Male,Single,Gold,Verve,Local,822211,118570,1,Lagos
1254868754,430,27,Male,Divorced,Gold,Verve,International,150513,198154,0,Abuja
1250781200,315,30,Female,Married,White,Visa,International,894751,281808,1,Lagos
1281707351,305,28,Male,Married,White,MasterCard,International,936003,271487,1,Port Harcourt
1274530246,571,20,Male,Unknown,White,Visa,International,235692,163061,1,Other
1258572610,487,25,Female,Married,Gold,Verve,International,545767,318400,1,Enugu
1274000029,644,24,Male,Married,White,MasterCard,International,431413,205816,0,Enugu
1283977312,384,25,Female,Divorced,White,Visa,Local,379101,147174,0,Other
1245095911,504,25,Male,Married,Gold,Verve,International,670537,218297,1,Port Harcourt
1252583441,363,21,Male,Single,Gold,Verve,International,298824,311372,1,Ibadan
1257609664,446,21,Female,Single,Gold,Verve,Local,402693,135035,0,Enugu
1283296427,606,30,Male,Single,Gold,Verve,International,248250,207094,0,Ota
1243580656,295,18,Male,Married,Gold,Verve,International,142924,288010,0,Port Harcourt
1284324933,548,22,Female,Single,White,Visa,Local,531413,207141,1,Other
1288291611,223,18,Male,Single,White,Visa,Local,308902,366013,1,Ota
1275144064,296,25,Female,Single,Gold,Verve,International,288956,157301,1,Abuja
1270208454,385,20,Male,Single,Gold,Verve,International,714408,262447,1,Ibadan
1287798875,668,22,Male,Married,White,Visa,International,330336,261499,0,Abuja
1278002757,223,28,Female,Married,White,Visa,International,511705,373648,1,Enugu
1280847160,625,23,Male,Married,Gold,Verve,International,905511,201074,1,Kano
1288587786,644,25,Male,Married,White,MasterCard,International,753718,127848,1,Ibadan
1272057975,496,26,Female,Married,Gold,Verve,Local,370222,100363,0,Lagos
1243095891,332,28,Male,Married,Gold,Verve,International,478782,138118,1,Kano
1279013691,369,29,Female,Single,Gold,Verve,International,784986,131597,1,Ibadan
1246349439,597,24,Male,Married,White,Visa,Local,444112,233436,0,Ota
1241780554,468,29,Male,Married,White,MasterCard,International,652528,288581,1,Kano
1270031607,536,28,Female,Single,White,MasterCard,International,620969,259917,1,Enugu
1248227861,540,24,Male,Unknown,White,MasterCard,Local,607044,195855,1,Port Harcourt
1258732590,465,19,Male,Married,Gold,Verve,Local,138271,305599,0,Port Harcourt
